Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
5,3,Gllogovc/Glogovac,0304e,Dobrashec/Dobroševac,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
6,3,Gllogovc/Glogovac,0305e,Gradicë/Gradica,"Shkolla ""Mehmet Grabica""","Škola ""Mehmet Grabica""",,
7,3,Gllogovc/Glogovac,0306e,Tërstenik/Trstenik,"Shkolla ""Zenel Hajdini""","Škola ""Zenel Hajdini""",,
8,3,Gllogovc/Glogovac,0307e,Abri e Epërme/Gornje Obrinje,"Shkolla ""Shote Galica""","Škola ""Shote Galica""",,
9,3,Gllogovc/Glogovac,0308e,Bajicë/Banjica,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
10,3,Gllogovc/Glogovac,0309e,Krajkovë/Krajkovo,"Shkolla ""28 Nëntori""","Škola ""28 Nëntori""",,
11,3,Gllogovc/Glogovac,0310e,Nekoc/Nekovce,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
12,3,Gllogovc/Glogovac,0311e,Sankofc/Stankovce,"Shkolla ""Luigj Gurakuqi""","Škola ""Luigj Gurakuqi""",,
13,3,Gllogovc/Glogovac,0313e,Arllat/Orlate,"Shkolla ""Abedin Bujupi""","Škola ""Abedin Bujupi""",,
14,3,Gllogovc/Glogovac,0314e,Negrovc/Negrovce,"Shkolla ""Jusuf Gervalla""","Škola ""Jusuf Gervalla""",,
15,3,Gllogovc/Glogovac,0315e,Poklek/Poklek,"Shkolla e Mesme ""Fehmi Lladrofci""","Srednja Skola ""Fehmi Lladrofci""",,
16,3,Gllogovc/Glogovac,0316e,Gllanasell/Gladno Selo,"Shkolla Fillore ""Xheve Lladrovci""","Osnovna Škola ""Xheve Lladrovci""",,
17,3,Gllogovc/Glogovac,0317e,Llapushnik/Lapusnik,"Shkolla Fillore "" Hasan Prishtina""","Osnovna Škola "" Hasan Prishtina""",,
18,3,Gllogovc/Glogovac,0318e,Polluzhe/Poluza,"Shkolla Fillore "" Shaban Polluzha""","Osnovna Škola "" Shaban Polluzha""",,
19,3,Gllogovc/Glogovac,0319e,Zabeli i Ulte/Donji Zabelj,"Shkolla Fillore ""Arif Shala""","Osnovna Škola ""Arif Shala""",,
20,3,Gllogovc/Glogovac,0320e,Qikatove e Re/Novo Cikatovo,"Shkolla Fillore ""Ali Gashi""","Osnovna Škola ""Ali Gashi""",,
21,3,Gllogovc/Glogovac,0321e,Kishnarekë,"Shkolla Fillore ""7 Marsi""","Osnovna Škola ""7 Marta""",,
22,3,Gllogovc/Glogovac,0322e,Qikatovë e Vjeter,"Shkolla Fillore ""Deshmorët e Drenicës""","Osnovna skola""Deshmoret e Drenices""",,
23,3,Gllogovc/Glogovac,0323e,Terdevc,"Shkolla Fillore ""Shote Galica""","Osnovna skola ""Sote Galica""",,
24,3,Gllogovc/Glogovac,0324e,Vasilevë,Shkolla Fillore Fazli Grajçevci,"Osnovna skola""Fazli Grajqevci""",,
1,4,Gjilan/Gnjilane,0401d,Gjilan/Gnjilane,"Shkolla Fillore ""Abaz Ajeti""","Osnovna Škola ""Abaz Ajeti""",,
2,4,Gjilan/Gnjilane,0401x,Gjilan/Gnjilane,"Shkolla Fillore ""Thimi Mitko""","Osnovna Škola ""Thimi Mitko""",,
3,4,Gjilan/Gnjilane,0402d,Gjilan/Gnjilane,"Shkolla Fillore ""Selami Hallaqi""","Osnovna Škola ""Selami Hallaqi""",,
