Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
2,9,Fushë Kosovë/Kosovo Polje,0901x,Fushë Kosovë/Kosovo Polje,"Shkolla Fillore ""Mihail Grameno""","Osnovna Škola ""Mihail Grameno""",,
3,9,Fushë Kosovë/Kosovo Polje,0902e,Bardh i Madh/Veliki Belaćevac,"Shkolla ""Zenel Salihu""","Škola ""Zenel Salihu""",,
4,9,Fushë Kosovë/Kosovo Polje,0903e,Sllatinë e Epërme/Velika Slatina,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
5,9,Fushë Kosovë/Kosovo Polje,0904e,Miradi e Ulët/Donje Dobrevo,"Shkolla ""Vëllezërit Frashëri""","Škola ""Vëllezërit Frashëri""",,
6,9,Fushë Kosovë/Kosovo Polje,0905e,Kuzmini/Kuzmin,"Shkolla ""Aca Marović""","Škola ""Aca Marović""",,
7,9,Fushë Kosovë/Kosovo Polje,0907e,Bresja/Bresje,"Shkolla ""Daut Bogujevci""","Škola ""Daut Bogujevci""",,
8,9,Fushë Kosovë/Kosovo Polje,0908e,Miradi e Eperme/Gornje Dobrevo,"Shkolla Fillore ""Vellezerit Frasheri""","Osnovna skola ""Vëllëzërit Frasheri""",,
9,9,Fushë Kosovë/Kosovo Polje,0909e,Bresja/Bresje,"Shkolla ""Daut Bogujevci""","Škola ""Daut Bogujevci""",,
10,9,Fushë Kosovë/Kosovo Polje,0910e,Bresja/Bresje,"Shkolla ""Daut Bogujevci""","Škola ""Daut Bogujevci""",,
1,10,Kamenicë/Kamenica,1001d,Kamenicë/Kamenica,"Shkolla ""Ismail Qemali""","Škola ""Ismail Qemali""",,
2,10,Kamenicë/Kamenica,1001x,Kamenicë/Kamenica,"Shkolla ""Andrea Durrsaku""","Škola ""Andrea Durrsaku""",,
3,10,Kamenicë/Kamenica,1002d,Topanicë/Topanica,"Shkolla Fillore ""Rexhep Malaj""","Osnovna Škola ""Rexhep Malaj""",,
4,10,Kamenicë/Kamenica,1003d,Strezofc/Strezovce,"Shkolla Fillore ""Idriz Seferi""","Osnovna Škola ""Idriz Seferi""",,
5,10,Kamenicë/Kamenica,1004d,Krilevë/Kriljevo,"Shkolla Fillore ""7 Shtatori""","Osnovna Škola ""7 Shtatori""",,
6,10,Kamenicë/Kamenica,1005d,Hogosht/Ogošte,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
7,10,Kamenicë/Kamenica,1006d,Desivojcë/Desivojce,"Shkolla Fillore ""Kadri Zeka""","Osnovna Škola ""Kadri Zeka""",,
8,10,Kamenicë/Kamenica,1007d,Tugjec/Tudjevce,"Shkolla Fillore ""Nuhi Berisha""","Osnovna Škola ""Nuhi Berisha""",,
9,10,Kamenicë/Kamenica,1008d,Shipashnicë e Epërme/Gornja Šipašnica,"Shkolla Fillore ""Sadri Misini""","Osnovna Škola ""Sadri Misini""",,
10,10,Kamenicë/Kamenica,1009d,Rogaçicë/Rogačica,"Shkolla Fillore ""Metush Krasniqi""","Osnovna Škola ""Metush Krasniqi""",,
11,10,Kamenicë/Kamenica,1010d,Ajnoc/Ajnovce,"Shkolla Fillore ""Desanka Maksimović""","Osnovna Škola ""Desanka Maksimović""",,
12,10,Kamenicë/Kamenica,1013d,Kolloleq/Kololeć,"Shkolla fillore ""9 Maji""- Kolloleq",Kancelarija Pošte,,
13,10,Kamenicë/Kamenica,1015d,Berivojcë/Berivojce,"Shkolla Fillore ""Desanka Maksimović""","Osnovna Škola ""Desanka Maksimović""",,
14,10,Kamenicë/Kamenica,1016d,Bosce/Bosce,"Shkolla Fillore ""Desanka Maksimović""","Osnovna Škola ""Desanka Maksimović""",,
15,10,Kamenicë/Kamenica,1017d,Kamenicë/Kamenica,"Qendra e Kulturës ""Isa Kastrati""- Kamenicë",Dom Kulture,,
16,10,Kamenicë/Kamenica,1022d,Karaqeve e Ulet/Donja Karacevo,"Shkolla Fillore "" Asllan Thaqi""","Osnovna Škola "" Asllan Thaqi""",,
17,10,Kamenicë/Kamenica,1023d,Busovate/Busovate,"Shkolla Fillore""Hasan Prishtina""","Osnovna Škola""Hasan Prishtina""",,
18,10,Kamenicë/Kamenica,1024d,Koretin/Koretin,"Shkolla Fillore ""Avdullah Kraishnica-Presheva""","Osnovna Škola ""Avdullah Kraishnica-Presheva""",,
19,10,Kamenicë/Kamenica,1025d,Petrovc/Petrovce,"Shkolla Fillore"" Xhelal Sopi""","Osnovna Škola"" Xhelal Sopi""",,
20,10,Kamenicë/Kamenica,1026d,Hodonovc/Odanovce,"Shkolla Fillore""Xhavit Ahmeti""","Osnovna Škola""Xhavit Ahmeti""",,
21,10,Kamenicë/Kamenica,1027d,Lisocka/Lisacka,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
22,10,Kamenicë/Kamenica,1028d,Poliqka/Policka,"Shkolla Fillore ""Kadri Zeka""","Osnovna Škola ""Kadri Zeka""",,
23,10,Kamenicë/Kamenica,1029d,Kopernice/Kopernica,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
24,10,Kamenicë/Kamenica,1030d,Muqiverce/Mucivrce,"Shkolla Fillore ""17 Shkurti""","Osnovna Škola ""17 Shkurti""",,
25,10,Kamenicë/Kamenica,1031d,Shipshnice e Poshtme/Donja Sipasnica,"Shkolla Fillore ""Sadri Misini""","Osnovna Škola ""Sadri Misini""",,
26,10,Kamenicë/Kamenica,1032d,Karaevë e Eperme/Gornje Karacevo,"Shkolla Fillore ""Avni Rrustemi""","Osnovna skola ""Avni Rustemi""",,
1,11,Mitrovicë/Mitrovica,1102b,Mitrovicë/Mitrovica,"Shkolla e mesme Teknike ""Arkitekt Sinani""",Škola ''Arkitekt Sinani'',,
2,11,Mitrovicë/Mitrovica,1102x,Mitrovicë/Mitrovica,"Shkolla ""Abdullah Shabani""","Škola ""Abdullah Shabani""",,
3,11,Mitrovicë/Mitrovica,1103b,Shipol/Shipolje,"Shkolla Fillore ""Fazli Graiqevci""","Osnovna Škola ""Fazli Graiqevci""",,
4,11,Mitrovicë/Mitrovica,1103x,Zhabari/Zjabar,"Shkolla Fillore ""Shaban Idrizi""","Osnovna Škola""Shaban Idrizi""",,
5,11,Mitrovicë/Mitrovica,1104b,Mitrovica - Bairi,"Shkolla ''Ismail Qemali""","Škola ''Ismail Qemali""",,
6,11,Mitrovicë/Mitrovica,1105b,Mitrovica - Ura e gjakut,"Shkolla ""Skenderbeu""","Škola ""Skenderbeu""",,
7,11,Mitrovicë/Mitrovica,1109b,Mitrovicë/Mitrovica,"Shkolla Fillore ""Andon Zako Cajupi""","Osnovna Škola ""Andon Zako Cajupi""",,
8,11,Mitrovicë/Mitrovica,1111b,Mitrovicë - Sitnica,"Shkolla ""Bedri Gjina""","Škola ""Bedri Gjina""",,
9,11,Mitrovicë/Mitrovica,1112b,Kçiq i Madh/Veliki Kičić,"Shkolla ''Bislim Imeri ""","Škola ''Bislim Imeri """,,
10,11,Mitrovicë/Mitrovica,1113b,Trepçë/Trepča,Shkolla Trepçë,"Škola ""Trepča""",,
11,11,Mitrovicë/Mitrovica,1114b,Gushavce/Gushavac,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
12,11,Mitrovicë/Mitrovica,1115b,Bare/Bare,"Shkolla ''Xhevat Jusufi""","Škola ''Xhevat Jusufi""",,
13,11,Mitrovicë/Mitrovica,1116b,Tuneli i Parë/Prvi Tunel,"Shkolla ""Elena Gjika""","Škola ""Elena Gjika""",,
14,11,Mitrovicë/Mitrovica,1117b,Shupkofc/Šupkovac,"Shkolla ""Shemsi Ahmeti""","Škola ""Shemsi Ahmeti""",,
15,11,Mitrovicë/Mitrovica,1118b,Vidimiriq/Vidomirić,"Shkolla (A) ""Bajram Curri""","Škola (A) ""Bajram Curri""",,
16,11,Mitrovicë/Mitrovica,1119b,Sfinjar/Svinjare,Ekip mobil,Lokalna Kancelarija za Zajednice,,
17,11,Mitrovicë/Mitrovica,1120b,Rashan/Rašane,"Shkolla ""Sefedin Smakolli""","Škola ""Sefedin Smakolli""",,
18,11,Mitrovicë/Mitrovica,1121b,Bajgorë/Bajgora,"Shkolla ""Mehë Uka""","Škola ""Mehë Uka""",,
19,11,Mitrovicë/Mitrovica,1122b,Koshutovë/Košutovo,"Shkolla ""Jusuf Rexha""","Škola ""Jusuf Rexha""",,
20,11,Mitrovicë/Mitrovica,1123b,Mitrovice (lagja e romeve),"Shkolla ""Shkolla Bujqesore""","Škola ""Shkolla Bujqesore""",,
21,11,Mitrovicë/Mitrovica,1124b,Kaqanadoll/Kacandoll,"Shkolla Fillore ""Bislim Hajdari""","Osnovna Škola ""Bislim Hajdari""",,
22,11,Mitrovicë/Mitrovica,1125b,Vllahi/Vlahinje,"Shkolla Fillore ""Habib Jusufi""","Osnovna Škola ""Habib Jusufi""",,
23,11,Mitrovicë/Mitrovica,1126b,Selac/Seljance,"Shkolla Fillore ""Bislim Halimi""","Osnovna Škola ""Bislim Halimi""",,
24,11,Mitrovicë/Mitrovica,1127b,Rahove/Orahovo,"Shkolla Fillore ""Elmaz Peci ""","Osnovna Škola ""Elmaz Peci""",,
25,11,Mitrovicë/Mitrovica,1128b,Verbnice/Vrbnica,"Shkolla Fillore ""Fazli Graiqevci""","Osnovna Škola ""Fazli Graiqevci""",,
26,11,Mitrovicë/Mitrovica,1129b,Broboniq/Brabonjic,"Shkolla Fillore ""Sylejman Vokshi""","Osnovna Škola ""Sylejman Vokshi""",,
27,11,Mitrovicë/Mitrovica,1130b,Mazhiq/Mazic,"Shkolla Fillore ""Trepca""","Osnovna Škola ""Trepca""",,
28,11,Mitrovicë/Mitrovica,1132b,Melenice/Meljenica,"Shkolla Fillore ""Trepca""","Osnovna Škola ""Trepca""",,
1,12,Leposavić/Leposaviq,1201b,Leposavić/Leposaviq,"Shkolla Fillore ""Leposavić""","Osnovna Škola ""Leposavić""",,
2,12,Leposavić/Leposaviq,1201x,Leposavić/Leposaviq,Shtëpia e Kulturës,Dom Kulture,,
3,12,Leposavić/Leposaviq,1202b,Soqanica/Sočanica,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
4,12,Leposavić/Leposaviq,1203b,Vraqevë/Vračevo,"Shkolla Fillore ""Stana Bačanin""","Osnovna Škola ""Stana Bačanin""",,
5,12,Leposavić/Leposaviq,1204b,Belloberdë/Belo Brdo,"Shkolla Fillore ""Stana Bačanin""","Osnovna Škola ""Stana Bačanin""",,
6,12,Leposavić/Leposaviq,1205b,Leshak/Lešak,"Shkolla Fillore ""Stana Bačanin""","Osnovna Škola ""Stana Bačanin""",,
7,12,Leposavić/Leposaviq,1206b,Koshtovë,"Shtepi Private Pronari ""Ahmat Musa""","Privatna Kuća Vlasnik ""Ahmat Musa""",,
8,12,Leposavić/Leposaviq,1207b,Jashanica/Jošanica,"Shkolla Fillore ""Leposavić""","Osnovna Škola ""Leposavić""",,
9,12,Leposavić/Leposaviq,1208b,Dreni/Dren,"Shkolla Fillore ""Leposavić""","Osnovna Škola ""Leposavić""",,
10,12,Leposavić/Leposaviq,1209b,Bistricë/Bistrica,Objekt Privat Lovački dom,Privatni objekat - Lovački dom,,
11,12,Leposavić/Leposaviq,1210b,Borcani/Borčane,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
12,12,Leposavić/Leposaviq,1211b,Miokoviq/Miokoviće,"Shkolla Fillore ""Stana Bačanin""","Osnovna Škola ""Stana Bačanin""",,
13,12,Leposavić/Leposaviq,1212b,Donje Jarinje,Zyra Lokale per Komunitete,Lokalna Kancelarija za Zajednice,,
14,12,Leposavić/Leposaviq,1213b,Vuca/Vuča,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
15,12,Leposavić/Leposaviq,1214b,Potkomlje/Potok Mala,Ndërtesë Publike,Javna Zgrada,,
16,12,Leposavić/Leposaviq,1215b,Kostin Potok,Shtëpi Private pronar - Miroslav Kerkez,Privatna Kuća Vlasnik - Miroslav Kerkez,,
17,12,Leposavić/Leposaviq,1216b,Kijevciqe/Kijevčiće,"Shkolla Fillore ""Leposavić""","Osnovna Škola ""Leposavić""",,
18,12,Leposavić/Leposaviq,1217b,Bistricë/Šaljska Bistrica,"Shkolla ""Kadri Bistricë""","Škola ""Kadri Bistricë""",,
1,13,Lipjan/Lipljan,1301e,Lipjan/Lipljan,"Shkolla Fillore ""Ismail Luma""","Osnovna Škola ""Ismail Luma""",,
2,13,Lipjan/Lipljan,1301x,Lipjan/Lipljan,Shkolla e Mesme - Ulpiana,Srednja Škola - Ulpiana,,
3,13,Lipjan/Lipljan,1302e,Magure/Magura,"Shkolla Fillore ""Jeronim de Rada""","Osnovna Škola ""Jeronim de Rada""",,
4,13,Lipjan/Lipljan,1303e,Janjevë/Janjevo,"Shkolla ""Janjevë""","Škola ""Janjevo Škola""",,
5,13,Lipjan/Lipljan,1304e,Shalë/Sedlare,"Shkolla Fillore ""Idriz Ajeti""","Osnovna Škola ""Idriz Ajeti""",,
6,13,Lipjan/Lipljan,1305e,Krajishtë/Krajište,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
7,13,Lipjan/Lipljan,1306e,Babush i Muhaxherëve/Muhadžer Babuš,"Shkolla Fillore ""Ernest Koliqi""","Osnovna Škola ""Ernest Koliqi""",,
8,13,Lipjan/Lipljan,1307e,Gadimja e Ulët/Donje Gadimlje,"Shkolla Fillore ""Zenel Hajdini""","Osnovna Škola ""Zenel Hajdini""",,
9,13,Lipjan/Lipljan,1308e,Llugaxhia/Lugadžija,"Shkolla Fillore ""Hasan Prishtina""","Osnovna Škola ""Hasan Prishtina""",,
10,13,Lipjan/Lipljan,1311e,Lipjan/Lipljan,"Shkolla Fillore ""Braca Aksic""","Osnovna Škola ""Braca Aksic""",,
11,13,Lipjan/Lipljan,1314e,Medvec/Medvece,"Shkolla ""Jeronim De Rada""","Škola ""Jeronim De Rada""",,
12,13,Lipjan/Lipljan,1315e,Lipjan/Lipljan,"Shkolla Fillore""Ismail Luma""","Osnovna Škola ""Ismail Luma""",,
13,13,Lipjan/Lipljan,1316e,Hallaqi i Vogël/Mali Alaš,"Shkolla Fillore ""Hallaqi""","Osnovna Škola ""Alaš""",,
14,13,Lipjan/Lipljan,1317e,Sllovi/Slovinje,"Shkolla Fillore ""Hasan Zyko Kamberi""","Osnovna Škola ""Hasan Zyko Kamberi""",,
15,13,Lipjan/Lipljan,1319e,Grack e Vjetër/Staro Gracko,"Shkolla ""Braća Aksić""","Škola ""Braća Aksić""",,
16,13,Lipjan/Lipljan,1320e,Rubovc/Rabovce,"Shtëpi Private ""Stanoje Djokic""","Privatna Kuća ""Stanoje Djokic""",,
17,13,Lipjan/Lipljan,1322e,Dobrajë e Madhe/Velika Dobraja,Shkolla Fillore ''Hivzi Sylejmani'',Osnovna Škola ''Hivzi Sylejmani'',,
18,13,Lipjan/Lipljan,1323e,Ruvc i Ri/Novo Rujce,"Shkolla Fillore 'Migjeni""","Osnovna Škola 'Migjeni""",,
19,13,Lipjan/Lipljan,1324e,Resinovc/Rusinovce,"Shkolla Fillore"" Idriz Ajeti""","Osnovna Škola"" Idriz Ajeti""",,
20,13,Lipjan/Lipljan,1325e,Banulle/Bandulic,"Shkolla Fillore ""Vëllezërit Frashëri""","Osnovna Škola ""Vëllezërit Frashëri""",,
21,13,Lipjan/Lipljan,1326e,Krojmir/Krajmirovce,"Shkolla Fillore ""Faik Konica""","Osnovna Škola ""Faik Konica""",,
22,13,Lipjan/Lipljan,1327e,Poturoci/Poturovce,"Shkolla Fillore"" Hivzi Sylejmani""","Osnovna Škola"" Hivzi Sylejmani""",,
23,13,Lipjan/Lipljan,1328e,Ribar i Madh/Veliki Ribar,"Shkolla Fillore ""Kadri Beba""","Osnovna Škola ""Kadri Beba""",,
24,13,Lipjan/Lipljan,1329e,Rubovc/Rabovce,"Shkolla Fillore ""Drita""","Osnovna Škola ""Drita""",,
25,13,Lipjan/Lipljan,1330e,Smallushe /Smolusa,"Shkolla Fillore ""Ibrahim Krasniqi""","Osnovna Škola ""Ibrahim Krasniqi""",,
26,13,Lipjan/Lipljan,1331e,Topliqan/Toplicane,"Shkolla Fillore ""Topliqani""","Osnovna Škola ""Topliqani""",,
1,14,Novobërdë/Novo Brdo,1401d,Novobërdë/Novo Brdo,"Shkolla Fillore ""Minatori""","Osnovna Škola ""Minatori""",,
2,14,Novobërdë/Novo Brdo,1402d,Llabjan/Labljane,"Shkolla Fillore ""Asdreni""","Osnovna Škola ""Asdreni""",,
3,14,Novobërdë/Novo Brdo,1403d,Prekoc/Prekovce,"Shkolla Fillore""Dositej Obradovic""","Osnovna Škola ""Dositej Obradović""",,
4,14,Novobërdë/Novo Brdo,1404d,Bostanë/Bostane,"Shkolla Fillore ""Miladin Popović""","Osnovna Škola ""Miladin Popović""",,
5,14,Novobërdë/Novo Brdo,1406d,Jasenovik/Jasenoviku,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
6,14,Novobërdë/Novo Brdo,1407d,Vlasoli/Vllase,"Shkolla Fillore ""Minatori""","Osnovna Škola ""Minatori""",,
7,14,Novobërdë/Novo Brdo,1408d,Pasjaku/Pasjak,"Shkolla Fillore ""Nushi dhe Tefiku""","Osnovna Škola ""Nushi dhe Tefiku""",,
8,14,Novobërdë/Novo Brdo,1409d,Bostanë/Bostane,Shkolla e Mesme Ekonomike Bostanë,Srednja Ekonomska Skola Bostane,,
9,14,Novobërdë/Novo Brdo,1410d,Zebince/Zebnica,"Shkolla Fillore""Dositej Obradovic""","Osnovna Škola""Dositej Obradovic""",,
10,14,Novobërdë/Novo Brdo,1411d,Paralove/Parllova,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
11,14,Novobërdë/Novo Brdo,1412d,Koretishte/Koretiste,"Shkolla Fillore ""Bora Stanković""","Osnovna Škola ""Bora Stanković""",,
12,14,Novobërdë/Novo Brdo,1413d,Stanishor/Stanishori,"Shkolla Fillore ""Petar Petrović Njegoš""","Osnovna Škola ""Petar Petrović Njegoš""",,
13,14,Novobërdë/Novo Brdo,1414d,Strazhe/Straza,"Shkolla Fillore ""Bora Stanković""","Osnovna Škola ""Bora Stanković""",,
14,14,Novobërdë/Novo Brdo,1415d,Kufce e Eperme/Gornja Kufca,"Shkolla e Mesme ""Dragi Popović""","Srednja Škola ""Dragi Popović""",,
15,14,Novobërdë/Novo Brdo,1416d,Makresh i Epërm/Gornji Makres,"Shkolla Fillore ""Petar Petrović Njegoš""","Osnovna Škola ""Petar Petrović Njegoš""",,
16,14,Novobërdë/Novo Brdo,1417d,Bolefc/Bolevac,"Shkolla Fillore ""Bratstvo""","Osnovna Škola ""Bratstvo""",,
17,14,Novobërdë/Novo Brdo,1418d,Bushince/Businca,"Shkolla Fillore ""Desanka Maksimović""","Osnovna Škola ""Desanka Maksimović""",,
18,14,Novobërdë/Novo Brdo,1419d,Makresh i poshtëm/Donji Makres,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
19,14,Novobërdë/Novo Brdo,1420d,Stanishor/Stanishori,"Shkolla Fillore ""Nushi e Tefiku""","Osnovna skola""Nushi e Tefiku""",,
1,15,Obiliq/Obilić,1501e,Obiliq/Obilić,"Shkolla ""Ibrahim Rugova""","Škola ""Ibrahim Rugova""",,
2,15,Obiliq/Obilić,1502e,Milloshevë/Miloševo,"Shkolla ""Liria""","Škola ""Liria""",,
3,15,Obiliq/Obilić,1503e,Brezhnicë/Breznica,"Shkolla ""Naim Frashëri""","Škola ""Naim Frashëri""",,
4,15,Obiliq/Obilić,1504e,Hade/Ade,"Shkolla ""Fazli Graiqevci""","Škola ""Fazli Graiqevci""",,
5,15,Obiliq/Obilić,1505e,Sibofc/Sibovac,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
6,15,Obiliq/Obilić,1507e,Babimoc/Babin Most,"Shkolla ""Milan Rakic""","Škola""Milan Rakic""",,
7,15,Obiliq/Obilić,1509e,Palaj/Crkvena Vodica,"Shkolla ""Dositej Obradović""","Škola ""Dositej Obradović""",,
8,15,Obiliq/Obilić,1511e,Kampi Plemetin/Plemetina Kamp,"Shkolla Fillore "" Pandeli Sotiri""","Osnovna Škola "" Pandeli Sotiri""",,
9,15,Obiliq/Obilić,1512e,Plemetin/Plemetina,"Shkolla Fillore "" Sveti Sava""","Osnovna Škola "" Sveti Sava""",,
10,15,Obiliq/Obilić,1514e,Obiliq/Obilić,Shtëpi private afër Shkollës së vjetër,Privatna kuća blizu stare Škole,,
11,15,Obiliq/Obilić,1515e,Obiliq/Obilić,"""Salla e Kuvendit Komunal""","Sala "" Skupstine Opstine""",,
12,15,Obiliq/Obilić,1519e,Krushec/Krusevac,"Shkolla Fillore "" Abdurrahman Gerguri""","Osnovna Škola ""Abdurrahman Gerguri""",,
13,15,Obiliq/Obilić,1520e,Mazgit/Mazgit,"Shkolla Fillore "" Pandeli Sotiri""","Osnovna Škola "" Pandeli Sotiri""",,
14,15,Obiliq/Obilić,1521e,Graboc i Epërm/Gornji Grabovac,"Shkolla Fillore ""Migjeni""","Osnovna Škola ""Migjeni""",,
1,16,Rahovec/Orahovac,1601a,Rahovec/Orahovac,"Shkolla ""Mihail Grameno""","Škola ""Mihail Grameno""",,
2,16,Rahovec/Orahovac,1602a,Rahovec/Orahovac,"Shkolla ""Xhelal Hajda-Toni""","Škola ""Xhelal Hajda-Toni""",,
3,16,Rahovec/Orahovac,1602x,Rahovec/Orahovac,"Shkolla ""7 Shtatori""","Škola ""7 Shtatori""",,
4,16,Rahovec/Orahovac,1603a,Zoqishtë/Zočište,"Shkolla Fillore ""Haki Stermilli""","Osnovna Škola ""Haki Stermilli""",,
5,16,Rahovec/Orahovac,1604a,Reti/Retimlje,"Shkolla Fillore ""Haki Stërmilli""","Osnovna Škola ""Haki Stërmilli""",,
6,16,Rahovec/Orahovac,1605a,Zatriq/Zatrić,"Shkolla Fillore ""Vëllezërit Frashëri""","Osnovna Škola ""Vëllezërit Frashëri""",,
7,16,Rahovec/Orahovac,1606a,Pastasellë/Pusto Selo,"Shkolla Fillore ""Jusuf Gërvalla""","Osnovna Škola ""Jusuf Gërvalla""",,
8,16,Rahovec/Orahovac,1607a,Kramovik/Kramovik,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
9,16,Rahovec/Orahovac,1608a,Krushë e Madhe/Velika Kruša,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
10,16,Rahovec/Orahovac,1609a,Hoçë e Vogël/Mala Hoča,"Shkolla ""Heronjtë e Kosovës""","Škola ""Heronjtë e Kosovës""",,
11,16,Rahovec/Orahovac,1610a,Xërxë/Zrze,"Shkolla Fillore ""Hamëz Thaçi""","Osnovna Škola ""Hamëz Thaçi""",,
12,16,Rahovec/Orahovac,1611a,Potoqan i Ulët/Donje Potočane,"Shkolla Fillore ""Liria""","Osnovna Škola ""Liria""",,
13,16,Rahovec/Orahovac,1612a,Ratkoc/Ratkovac,"Shkolla ""Katër Dëshmorët e Ratkocit""","Škola ""Katër Dëshmorët e Ratkocit""",,
14,16,Rahovec/Orahovac,1619a,Rahovec/Orahovac,"Shkolla ""Vuk Karadžić""","Škola ""Vuk Karadžić""",,
15,16,Rahovec/Orahovac,1620a,Hoçë e Madhe/Velika Hoča,"Shkolla Fillore ""Svetozar Marković""","Osnovna Škola ""Svetozar Marković""",,
16,16,Rahovec/Orahovac,1621a,Malësi e Vogël/Radoste,"Shkolla Fillore ""Skender Kastrati""","Osnovna Škola ""Skender Kastrati""",,
17,16,Rahovec/Orahovac,1622a,Opterushë/Opteruša,"Shkolla ""Lidhja e Prizrenit""","Škola ""Lidhja e Prizrenit""",,
18,16,Rahovec/Orahovac,1623a,Çiflak/Čiflak,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
19,16,Rahovec/Orahovac,1624a,Bellacërkvë/Bela Crkva,"Shkolla ""Liria""","Škola ""Liria""",,
20,16,Rahovec/Orahovac,1625a,Dejnë/Danjane,"Shkolla ""Rudolf Walther""","Škola ""Rudolf Walther""",,
21,16,Rahovec/Orahovac,1626a,Rahovec/Orahovac,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
22,16,Rahovec/Orahovac,1627a,Celinë/Celina,"Shkolla Fillore ""Faik Konica""","Osnovna Škola ""Faik Konica""",,
23,16,Rahovec/Orahovac,1628a,Drenoci/Drenovac,"Shkolla Fillore ""Vëllezerit Frasheri""","Osnovna Škola ""Vëllezerit Frasheri""",,
24,16,Rahovec/Orahovac,1629a,Mrasori/Mrasor,"Shkolla Fillore"" Petro Nino Luarasi""","Osnovna Škola"" Petro Nino Luarasi""",,
25,16,Rahovec/Orahovac,1630a,Sopinici/Sopnic,"Shkolla Fillore ""Liria - Sapniq""","Osnovna Škola ""Liria - Sapniq""",,
26,16,Rahovec/Orahovac,1631a,Polluzhe/Poluza,"Shkolla Fillore ""Sylejman Vokshi""","Osnovna Škola ""Sylejman Vokshi""",,
27,16,Rahovec/Orahovac,1632a,Vrajak/Bratatin,"Shkolla Fillore ""Vrajak-Bratatin""","Osnovna Škola ""Vrajak-Bratatin""",,
28,16,Rahovec/Orahovac,1633a,Rahovec/Orahovac,"Shkolla Fillore ""Ardhmeria""","Osnovna Škola ""Ardhmeria""",,
29,16,Rahovec/Orahovac,1634a,Senoc/Sanovac,"Shkolla Fillore"" Vellezerit Frasheri""","Osnovna Škola"" Vellezerit Frasheri""",,
30,16,Rahovec/Orahovac,1635a,Pataqan i Eperm/Gornje Potoqane,"Shkolla Fillore""Pataqan I Eperm""","Osnovna Škola""Pataqan I Eperm""",,
31,16,Rahovec/Orahovac,1637a,Doberdol/Dobri Dol,"Shkolla Fillore""Rudolf Walter""","Osnovna Škola""Rudolf Walter""",,
32,16,Rahovec/Orahovac,1638a,Nagavc/Nogavac,"Shkolla Fillore""Bajram Curri""","Osnovna Škola""Bajram Curri""",,
33,16,Rahovec/Orahovac,1639a,Reti e Poshtme/Donje Retinje,"Shkolla Fillore""Haki Stermilli""","Osnovna Škola""Haki Stermilli""",,
34,16,Rahovec/Orahovac,1640a,Gexhe/Gedza,"Shkolla Fillore""Skender Kastrati""","Osnovna Škola""Skender Kastrati""",,
35,16,Rahovec/Orahovac,1641a,Guri Kuq/Petkoviq,"Shkolla Fillore ""Rilindja""","Osnovna skola""Rilindja""",,
1,17,Pejë/Peć,1701c,Pejë/Peć,"Shkolla Fillore ""Asdreni""","Osnovna Škola ""Asdreni""",,
2,17,Pejë/Peć,1702c,Pejë/Peć,"Shkolla Fillore ""Vaso Pashë Shkodrani""","Osnovna Škola ""Vaso Pashë Shkodrani""",,
3,17,Pejë/Peć,1703c,Pejë/Peć,"Shkolla Fillore ""Lidhja e Prizrenit ""","Osnovna Škola ""Lidhja e Prizrenit """,,
4,17,Pejë/Peć,1704c,Pejë/Peć,"Shkolla Fillore ""Ramiz Sadiku''","Osnovna Škola ""Ramiz Sadiku''",,
5,17,Pejë/Peć,1704x,Pejë/Peć,"Fakulteti i Biznesit ""Haxhi Zeka""","Fakultet Biznesa ""Haxhi Zeka""",,
6,17,Pejë/Peć,1704y,Pejë/Peć,"Shkolla e Mesme Teknike "" Shaban Spahia"" (ish Birov Shkolla)","Srednja Tehnićcka Škola "" Shaban Spahia"" (bivsi Birov Škola)",,
7,17,Pejë/Peć,1705c,Pejë/Peć,"Shkolla Fillore ""Xhemajl Kada""","Osnovna Škola ""Xhemajl Kada""",,
